Eta 0.1 
pt  value  error 
0.15  7.12   0.65 
0.25  7.50   0.67 
0.35  6.40   0.58 
0.45  4.80   0.44 
0.55  3.96   0.37 
0.65  2.77   0.27 
0.75  2.15   0.21 
0.85  1.83   0.18 
0.95  1.36   0.14 
1.1  0.90   0.09 
1.3  0.56   0.06 
1.5  0.32   0.04 
1.7  0.22   0.03 
1.9  0.16   0.02 
Eta 0.3 
pt  value  error 
0.15  7.11   0.64 
0.25  7.64   0.69 
0.35  6.62   0.61 
0.45  4.88   0.44 
0.55  3.95   0.36 
0.65  2.80   0.27 
0.75  2.26   0.22 
0.85  1.58   0.16 
0.95  1.42   0.14 
1.1  0.89   0.09 
1.3  0.58   0.07 
1.5  0.33   0.04 
1.7  0.24   0.03 
1.9  0.16   0.02 
Eta 0.5 
pt  value  error 
0.15  6.84   0.62 
0.25  8.01   0.72 
0.35  6.46   0.57 
0.45  5.16   0.47 
0.55  3.69   0.35 
0.65  2.91   0.27 
0.75  2.08   0.21 
0.85  1.71   0.17 
0.95  1.24   0.13 
1.1  0.86   0.09 
1.3  0.58   0.06 
1.5  0.37   0.04 
1.7  0.25   0.03 
1.9  0.12   0.02 
Eta 0.7 
pt  value  error 
0.15  7.53   0.68 
0.25  7.83   0.70 
0.35  6.56   0.59 
0.45  5.22   0.48 
0.55  3.79   0.35 
0.65  2.84   0.26 
0.75  2.19   0.21 
0.85  1.88   0.19 
0.95  1.31   0.14 
1.1  0.92   0.09 
1.3  0.51   0.06 
1.5  0.33   0.04 
1.7  0.22   0.03 
1.9  0.16   0.02 
Eta 0.9 
pt  value  error 
0.15  7.57   0.68 
0.25  8.10   0.72 
0.35  7.01   0.63 
0.45  5.06   0.46 
0.55  3.86   0.36 
0.65  2.85   0.27 
0.75  2.28   0.23 
0.85  1.69   0.17 
0.95  1.22   0.13 
1.1  0.99   0.10 
1.3  0.54   0.06 
1.5  0.38   0.04 
1.7  0.25   0.03 
1.9  0.18   0.02 
Eta 1.1 
pt  value  error 
0.15  7.59   0.68 
0.25  7.82   0.69 
0.35  6.59   0.60 
0.45  4.71   0.42 
0.55  3.91   0.37 
0.65  2.82   0.27 
0.75  2.12   0.22 
0.85  1.63   0.17 
0.95  1.30   0.14 
1.1  0.88   0.09 
1.3  0.52   0.06 
1.5  0.37   0.04 
1.7  0.25   0.03 
1.9  0.14   0.02 
Eta 1.3 
pt  value  error 
0.15  7.84   0.70 
0.25  8.63   0.76 
0.35  6.34   0.57 
0.45  5.02   0.46 
0.55  3.68   0.34 
0.65  2.93   0.28 
0.75  2.13   0.21 
0.85  1.66   0.17 
0.95  1.39   0.15 
1.1  0.83   0.08 
1.3  0.56   0.06 
1.5  0.37   0.04 
1.7  0.22   0.03 
1.9  0.13   0.02 
Eta 1.5 
pt  value  error 
0.15  7.74   0.70 
0.25  8.50   0.76 
0.35  6.59   0.59 
0.45  5.13   0.47 
0.55  3.59   0.34 
0.65  3.20   0.30 
0.75  2.21   0.22 
0.85  1.67   0.17 
0.95  1.13   0.12 
1.1  0.91   0.09 
1.3  0.51   0.06 
1.5  0.45   0.05 
1.7  0.19   0.03 
1.9  0.15   0.02 
Eta 1.7 
pt  value  error 
0.15  8.61   0.77 
0.25  8.46   0.75 
0.35  6.78   0.62 
0.45  4.87   0.45 
0.55  3.68   0.35 
0.65  2.74   0.26 
0.75  2.35   0.23 
0.85  1.66   0.17 
0.95  1.23   0.13 
1.1  0.81   0.08 
1.3  0.51   0.06 
1.5  0.34   0.04 
1.7  0.22   0.03 
1.9  0.16   0.03 
Eta 1.9 
pt  value  error 
0.15  8.63   0.76 
0.25  8.20   0.73 
0.35  6.62   0.61 
0.45  5.20   0.47 
0.55  3.82   0.37 
0.65  2.87   0.27 
0.75  2.16   0.20 
0.85  1.60   0.17 
0.95  1.24   0.13 
1.1  0.90   0.09 
1.3  0.58   0.06 
1.5  0.33   0.04 
1.7  0.22   0.03 
1.9  0.14   0.02 
Eta 2.1 
pt  value  error 
0.15  9.07   0.82 
0.25  8.60   0.78 
0.35  6.29   0.57 
0.45  5.81   0.53 
0.55  3.81   0.36 
0.65  2.93   0.28 
0.75  2.33   0.23 
0.85  1.46   0.15 
0.95  1.07   0.12 
1.1  0.79   0.08 
1.3  0.47   0.05 
1.5  0.28   0.03 
1.7  0.21   0.03 
1.9  0.12   0.02 
Eta 2.3 
pt  value  error 
0.15  9.52   0.93 
0.25  8.22   0.74 
0.35  6.26   0.57 
0.45  5.03   0.47 
0.55  3.64   0.35 
0.65  2.80   0.27 
0.75  2.09   0.21 
0.85  1.57   0.17 
0.95  1.18   0.13 
1.1  0.83   0.09 
1.3  0.46   0.06 
1.5  0.27   0.03 
1.7  0.19   0.03 
1.9  0.25   0.05 
