Eta 0.1 
pt  value  error 
0.15  5.51   0.48 
0.25  6.25   0.54 
0.35  5.15   0.44 
0.45  3.89   0.34 
0.55  2.91   0.26 
0.65  2.25   0.20 
0.75  1.65   0.15 
0.85  1.23   0.11 
0.95  0.95   0.09 
1.1  0.64   0.06 
1.3  0.37   0.03 
1.5  0.22   0.02 
1.7  0.13   0.01 
1.9  0.09   0.01 
Eta 0.3 
pt  value  error 
0.15  5.47   0.48 
0.25  6.39   0.55 
0.35  5.29   0.46 
0.45  4.09   0.36 
0.55  3.12   0.27 
0.65  2.25   0.20 
0.75  1.69   0.15 
0.85  1.20   0.11 
0.95  0.89   0.08 
1.1  0.60   0.05 
1.3  0.38   0.04 
1.5  0.23   0.02 
1.7  0.14   0.01 
1.9  0.09   0.01 
Eta 0.5 
pt  value  error 
0.15  5.58   0.48 
0.25  6.28   0.54 
0.35  5.42   0.47 
0.45  4.06   0.35 
0.55  3.13   0.27 
0.65  2.15   0.19 
0.75  1.68   0.15 
0.85  1.21   0.11 
0.95  0.91   0.08 
1.1  0.62   0.06 
1.3  0.38   0.03 
1.5  0.22   0.02 
1.7  0.15   0.01 
1.9  0.09   0.01 
Eta 0.7 
pt  value  error 
0.15  5.72   0.50 
0.25  6.33   0.54 
0.35  5.14   0.44 
0.45  3.98   0.34 
0.55  3.01   0.26 
0.65  2.17   0.19 
0.75  1.59   0.14 
0.85  1.19   0.11 
0.95  0.91   0.08 
1.1  0.59   0.05 
1.3  0.36   0.03 
1.5  0.23   0.02 
1.7  0.14   0.01 
1.9  0.09   0.01 
Eta 0.9 
pt  value  error 
0.15  5.89   0.51 
0.25  6.48   0.56 
0.35  5.36   0.46 
0.45  4.10   0.36 
0.55  3.03   0.26 
0.65  2.20   0.20 
0.75  1.68   0.15 
0.85  1.21   0.11 
0.95  0.92   0.08 
1.1  0.61   0.06 
1.3  0.38   0.04 
1.5  0.22   0.02 
1.7  0.13   0.01 
1.9  0.09   0.01 
Eta 1.1 
pt  value  error 
0.15  6.05   0.52 
0.25  6.30   0.53 
0.35  5.35   0.46 
0.45  3.87   0.33 
0.55  2.94   0.26 
0.65  2.09   0.18 
0.75  1.54   0.14 
0.85  1.20   0.11 
0.95  0.88   0.08 
1.1  0.59   0.05 
1.3  0.35   0.03 
1.5  0.20   0.02 
1.7  0.13   0.01 
1.9  0.09   0.01 
Eta 1.3 
pt  value  error 
0.15  6.25   0.54 
0.25  6.78   0.58 
0.35  5.43   0.47 
0.45  4.12   0.36 
0.55  2.97   0.26 
0.65  2.22   0.19 
0.75  1.65   0.15 
0.85  1.19   0.11 
0.95  0.92   0.08 
1.1  0.59   0.05 
1.3  0.35   0.03 
1.5  0.21   0.02 
1.7  0.12   0.01 
1.9  0.08   0.01 
Eta 1.5 
pt  value  error 
0.15  6.43   0.56 
0.25  6.75   0.58 
0.35  5.34   0.46 
0.45  4.15   0.36 
0.55  2.90   0.25 
0.65  2.24   0.20 
0.75  1.63   0.14 
0.85  1.17   0.11 
0.95  0.88   0.08 
1.1  0.59   0.05 
1.3  0.33   0.03 
1.5  0.20   0.02 
1.7  0.13   0.01 
1.9  0.08   0.01 
Eta 1.7 
pt  value  error 
0.15  6.80   0.58 
0.25  6.88   0.60 
0.35  5.20   0.45 
0.45  3.96   0.34 
0.55  3.05   0.26 
0.65  2.12   0.19 
0.75  1.63   0.15 
0.85  1.21   0.11 
0.95  0.91   0.08 
1.1  0.57   0.05 
1.3  0.35   0.03 
1.5  0.19   0.02 
1.7  0.12   0.01 
1.9  0.08   0.01 
Eta 1.9 
pt  value  error 
0.15  6.89   0.59 
0.25  6.87   0.59 
0.35  5.43   0.47 
0.45  4.12   0.36 
0.55  2.93   0.26 
0.65  2.18   0.19 
0.75  1.59   0.14 
0.85  1.17   0.11 
0.95  0.86   0.08 
1.1  0.57   0.05 
1.3  0.32   0.03 
1.5  0.19   0.02 
1.7  0.12   0.01 
1.9  0.08   0.01 
Eta 2.1 
pt  value  error 
0.15  6.76   0.58 
0.25  6.90   0.59 
0.35  5.02   0.43 
0.45  4.33   0.38 
0.55  3.02   0.26 
0.65  2.17   0.19 
0.75  1.60   0.15 
0.85  1.18   0.11 
0.95  0.86   0.08 
1.1  0.57   0.05 
1.3  0.34   0.03 
1.5  0.19   0.02 
1.7  0.11   0.01 
1.9  0.07   0.01 
Eta 2.3 
pt  value  error 
0.15  6.87   0.61 
0.25  6.57   0.57 
0.35  4.98   0.43 
0.45  3.98   0.35 
0.55  2.91   0.26 
0.65  2.07   0.18 
0.75  1.59   0.14 
0.85  1.11   0.10 
0.95  0.79   0.08 
1.1  0.52   0.05 
1.3  0.29   0.03 
1.5  0.17   0.02 
1.7  0.12   0.01 
1.9  0.06   0.01 
