900 GeV ---------------- 
pt  value  error 
0.15 6.37e+00  2.3e-01 
0.25 4.15e+00  1.5e-01 
0.35 2.41e+00  8.5e-02 
0.45 1.43e+00  5.1e-02 
0.55 8.67e-01  3.1e-02 
0.65 5.35e-01  1.9e-02 
0.75 3.47e-01  1.2e-02 
0.85 2.24e-01  8.0e-03 
0.95 1.51e-01  5.4e-03 
1.1 8.63e-02  3.1e-03 
1.3 4.36e-02  1.6e-03 
1.5 2.23e-02  8.1e-04 
1.7 1.22e-02  4.5e-04 
1.9 7.12e-03  2.6e-04 
2.1 4.17e-03  1.6e-04 
2.3 2.55e-03  1.0e-04 
2.5 1.53e-03  6.5e-05 
2.7 1.00e-03  4.5e-05 
2.9 5.89e-04  3.0e-05 
3.1 4.36e-04  2.4e-05 
3.3 2.46e-04  1.6e-05 
3.5 1.55e-04  1.1e-05 
3.7 1.12e-04  8.8e-06 
3.9 1.07e-04  9.1e-06 
-------------------------- 
2.36 TeV ---------------- 
pt  value  error 
0.15 8.06e+00  2.9e-01 
0.25 5.12e+00  1.8e-01 
0.35 2.99e+00  1.1e-01 
0.45 1.77e+00  6.3e-02 
0.55 1.10e+00  3.9e-02 
0.65 7.01e-01  2.5e-02 
0.75 4.63e-01  1.7e-02 
0.85 3.16e-01  1.1e-02 
0.95 2.14e-01  7.8e-03 
1.1 1.28e-01  4.6e-03 
1.3 6.61e-02  2.4e-03 
1.5 3.76e-02  1.4e-03 
1.7 2.11e-02  8.2e-04 
1.9 1.22e-02  5.0e-04 
2.1 7.51e-03  3.3e-04 
2.3 4.26e-03  2.0e-04 
2.5 2.88e-03  1.5e-04 
2.7 1.79e-03  1.1e-04 
2.9 1.09e-03  8.0e-05 
3.1 7.71e-04  6.6e-05 
3.3 6.10e-04  5.3e-05 
3.5 4.29e-04  4.4e-05 
3.7 2.77e-04  3.3e-05 
3.9 3.14e-04  5.0e-05 
-------------------------- 
