pt  value  error 
0.15 6.36537  0.2254892 
0.25 4.14683  0.1468303 
0.35 2.41396  0.0854996 
0.45 1.42546  0.05050978 
0.55 0.86719  0.03075103 
0.65 0.53515  0.01899694 
0.75 0.34670  0.0123239 
0.85 0.22449  0.007995081 
0.95 0.15124  0.005398814 
1.1 0.08634  0.003075006 
1.3 0.04358  0.001559803 
1.5 0.02232  0.0008053937 
1.7 0.01219  0.0004451257 
1.9 0.00712  0.0002646495 
2.1 0.00417  0.0001589884 
2.3 0.00255  0.0001003598 
2.5 0.00153  6.545533e-05 
2.7 0.00100  4.48161e-05 
2.9 0.00059  2.969746e-05 
3.1 0.00044  2.418756e-05 
3.3 0.00025  1.553411e-05 
3.5 0.00016  1.082915e-05 
3.7 0.00011  8.810906e-06 
3.9 0.00011  9.131363e-06 
pt  value  error 
0.15 4.06243  gre->GetErrorY 
0.25 1.11994  0.2873511 
0.35 -1.00577  0.1821317 
0.45 -2.23370  0.1066217 
0.55 -2.90381  0.06303073 
0.65 -3.29862  0.0392341 
0.75 -3.53737  0.02519509 
0.85 -3.68419  0.01670353 
0.95 -3.78601  0.0114693 
1.1 -3.87217  0.007836993 
1.3 -3.93388  0.004636385 
1.5 -3.96238  0.002436971 
1.7 -3.97887  0.001414202 
1.9 -3.98777  0.0008206576 
2.1 -3.99249  0.0004956134 
2.3 -3.99574  0.0003280731 
2.5 -3.99712  0.000203054 
2.7 -3.99821  0.0001472081 
2.9 -3.99891  0.0001079234 
3.1 -3.99923  7.974596e-05 
3.3 -3.99939  6.61406e-05 
3.5 -3.99957  5.331245e-05 
3.7 -3.99972  4.405248e-05 
3.9 -3.99969  3.287118e-05 
pt  value  error 
